epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,396.797,0.43841,0.46745,0.8604,0.74258,0.69167,0.78227,0.73191,0.39516,1.1796,0.84978,0.0011312,0.0011312,0.0011312
98,401.131,0.39264,0.43503,0.84284,0.76355,0.72388,0.76878,0.72832,0.36702,1.12259,0.8525,0.00112996,0.00112996,0.00112996
99,404.842,0.43058,0.44525,0.85596,0.78198,0.79703,0.77426,0.71143,0.40473,1.01759,0.85676,0.00112873,0.00112873,0.00112873
100,408.391,0.41557,0.46609,0.83599,0.79088,0.72563,0.80982,0.75991,0.39209,0.96005,0.85087,0.00112749,0.00112749,0.00112749
101,412.478,0.44679,0.4711,0.86329,0.67164,0.7933,0.72414,0.68864,0.38486,1.03145,0.84298,0.00112625,0.00112625,0.00112625
102,416.849,0.4044,0.44163,0.84269,0.66032,0.66508,0.66942,0.62365,0.38056,1.07522,0.84645,0.00112501,0.00112501,0.00112501
103,420.099,0.43027,0.4653,0.8609,0.69176,0.68763,0.7393,0.68572,0.384,0.87768,0.85049,0.00112378,0.00112378,0.00112378
104,423.478,0.41492,0.4315,0.86291,0.72213,0.83967,0.75835,0.71124,0.39158,0.81222,0.84735,0.00112254,0.00112254,0.00112254
105,427.916,0.41936,0.45344,0.8705,0.72356,0.8625,0.76168,0.71302,0.38285,0.79127,0.84492,0.0011213,0.0011213,0.0011213
106,431.959,0.41296,0.42313,0.84761,0.72129,0.80137,0.81705,0.74796,0.42808,0.99188,0.86397,0.00112006,0.00112006,0.00112006
107,435.738,0.415,0.46271,0.84881,0.75309,0.807,0.81928,0.7393,0.41799,0.99562,0.85683,0.00111882,0.00111882,0.00111882
108,439.214,0.4329,0.43391,0.87649,0.69812,0.84498,0.78838,0.72639,0.41471,0.87621,0.86167,0.00111759,0.00111759,0.00111759
109,443.57,0.39595,0.40099,0.85708,0.65826,0.85641,0.82523,0.77199,0.3953,0.88231,0.85822,0.00111635,0.00111635,0.00111635
110,446.814,0.42434,0.41405,0.85555,0.67677,0.83608,0.80304,0.75207,0.41054,0.81528,0.85274,0.00111511,0.00111511,0.00111511
111,450.487,0.41498,0.40363,0.84935,0.71553,0.91317,0.86073,0.80404,0.39644,0.72096,0.84611,0.00111388,0.00111388,0.00111388
112,454.295,0.41692,0.41217,0.86115,0.72326,0.8492,0.85038,0.79658,0.38358,0.86736,0.84472,0.00111264,0.00111264,0.00111264
113,458.848,0.41397,0.41642,0.84419,0.71843,0.77292,0.78291,0.73992,0.36647,0.96139,0.84512,0.0011114,0.0011114,0.0011114
114,462.366,0.40262,0.41928,0.84261,0.59916,0.89218,0.77624,0.72581,0.34685,0.85063,0.84118,0.00111016,0.00111016,0.00111016
115,465.736,0.41755,0.42217,0.86676,0.58943,0.89355,0.77515,0.72505,0.37211,0.85985,0.84646,0.00110892,0.00110892,0.00110892
116,470.324,0.38463,0.39185,0.85571,0.6512,0.82881,0.74535,0.70165,0.37584,0.81976,0.84553,0.00110769,0.00110769,0.00110769
117,474.496,0.39297,0.38279,0.85215,0.62497,0.85364,0.76564,0.71916,0.36371,0.91265,0.84359,0.00110645,0.00110645,0.00110645
