epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,330.757,0.40806,0.41441,0.86574,0.98051,1,0.995,0.8952,0.59691,0.38249,1.06704,0.00116276,0.00116276,0.00116276
143,333.249,0.44854,0.46154,0.90426,0.93728,1,0.995,0.89009,0.63512,0.37967,1.13935,0.00116214,0.00116214,0.00116214
144,336.218,0.44157,0.49165,0.87037,0.83769,1,0.995,0.90226,0.61522,0.42875,1.11298,0.00116152,0.00116152,0.00116152
145,337.982,0.45872,0.46428,0.88418,0.89714,1,0.995,0.91414,0.62115,0.37627,1.11839,0.0011609,0.0011609,0.0011609
146,339.949,0.42792,0.41968,0.85746,0.97871,1,0.995,0.90965,0.60409,0.32853,1.07423,0.00116028,0.00116028,0.00116028
147,341.708,0.38775,0.4077,0.86509,0.97998,1,0.995,0.91747,0.61301,0.30561,1.03371,0.00115966,0.00115966,0.00115966
148,343.674,0.42333,0.56501,0.86215,0.97031,1,0.995,0.88547,0.49994,0.30715,0.88736,0.00115904,0.00115904,0.00115904
149,345.445,0.4057,0.44933,0.86239,0.98283,1,0.995,0.89902,0.50194,0.29358,0.88762,0.00115843,0.00115843,0.00115843
150,347.901,0.48637,0.47142,0.89049,0.97338,1,0.995,0.9147,0.44371,0.29232,0.88636,0.00115781,0.00115781,0.00115781
151,350.917,0.44713,0.48603,0.85105,0.9739,1,0.995,0.93072,0.44392,0.30522,0.89647,0.00115719,0.00115719,0.00115719
152,352.78,0.43898,0.43454,0.88364,0.96946,1,0.995,0.90288,0.45264,0.28785,0.89416,0.00115657,0.00115657,0.00115657
153,354.6,0.45409,0.51009,0.87967,0.97128,1,0.995,0.90335,0.4485,0.28503,0.8844,0.00115595,0.00115595,0.00115595
154,356.526,0.43488,0.44245,0.87729,0.96365,1,0.995,0.88241,0.50641,0.29154,0.90912,0.00115533,0.00115533,0.00115533
155,358.34,0.36032,0.4329,0.83587,0.96606,1,0.995,0.89093,0.53034,0.29068,0.92237,0.00115471,0.00115471,0.00115471
156,360.147,0.39799,0.40922,0.85611,0.97268,1,0.995,0.91833,0.4801,0.25776,0.90347,0.00115409,0.00115409,0.00115409
157,362.786,0.452,0.42311,0.88423,0.97367,1,0.995,0.91228,0.44424,0.25915,0.89253,0.00115348,0.00115348,0.00115348
158,365.59,0.44036,0.48823,0.85426,0.98193,1,0.995,0.8416,0.56018,0.33836,0.93745,0.00115286,0.00115286,0.00115286
159,367.507,0.43705,0.44744,0.83304,0.98361,1,0.995,0.83232,0.65225,0.31301,1.03837,0.00115224,0.00115224,0.00115224
160,369.515,0.4336,0.47067,0.86335,0.98355,1,0.995,0.88609,0.60283,0.30582,1.05325,0.00115162,0.00115162,0.00115162
161,371.248,0.42779,0.45864,0.85786,0.98301,1,0.995,0.86515,0.5497,0.32862,0.99254,0.001151,0.001151,0.001151
162,373.232,0.42647,0.44835,0.88468,0.9828,1,0.995,0.86759,0.49812,0.31664,0.95432,0.00115038,0.00115038,0.00115038
163,375.152,0.41744,0.4411,0.86468,0.98314,1,0.995,0.85665,0.57497,0.30216,0.99827,0.00114976,0.00114976,0.00114976
164,377.883,0.47512,0.45191,0.91823,0.97432,1,0.995,0.89195,0.49198,0.29786,0.90725,0.00114914,0.00114914,0.00114914
165,380.426,0.42399,0.40082,0.83506,0.96902,1,0.995,0.91515,0.49708,0.33325,0.89719,0.00114853,0.00114853,0.00114853
166,382.418,0.38634,0.45045,0.85207,0.96003,1,0.995,0.92285,0.55211,0.33887,0.93145,0.00114791,0.00114791,0.00114791
167,384.291,0.42627,0.44461,0.87283,0.96618,1,0.995,0.92547,0.50174,0.33275,0.921,0.00114729,0.00114729,0.00114729
168,386.155,0.43611,0.44905,0.88399,0.97739,1,0.995,0.90925,0.47806,0.32551,0.9065,0.00114667,0.00114667,0.00114667
169,388.089,0.44203,0.44499,0.86166,0.96911,1,0.995,0.88227,0.47642,0.33186,0.90166,0.00114605,0.00114605,0.00114605
170,390.16,0.42831,0.46884,0.86797,0.9723,1,0.995,0.89654,0.48358,0.31619,0.90239,0.00114543,0.00114543,0.00114543
171,393.211,0.41789,0.44704,0.86423,0.96717,1,0.995,0.85892,0.49474,0.32254,0.91068,0.00114481,0.00114481,0.00114481
172,396.307,0.41304,0.41788,0.86308,0.95343,1,0.995,0.86856,0.57114,0.40142,0.98539,0.00114419,0.00114419,0.00114419
173,398.996,0.40386,0.56836,0.86846,0.92127,1,0.995,0.88922,0.60173,0.42768,1.00871,0.00114357,0.00114357,0.00114357
174,400.943,0.40582,0.44624,0.85835,0.9772,1,0.995,0.86537,0.60505,0.38631,1.02704,0.00114296,0.00114296,0.00114296
175,402.798,0.41702,0.41415,0.84753,0.97826,1,0.995,0.85519,0.60676,0.33835,1.02778,0.00114234,0.00114234,0.00114234
176,404.679,0.38426,0.43396,0.85006,0.97844,1,0.995,0.85146,0.524,0.34403,0.93782,0.00114172,0.00114172,0.00114172
177,407.497,0.40843,0.41206,0.84031,0.95987,1,0.995,0.86534,0.46869,0.37175,0.91111,0.0011411,0.0011411,0.0011411
178,410.119,0.41092,0.45071,0.86929,0.97106,1,0.995,0.86056,0.49042,0.36658,0.91699,0.00114048,0.00114048,0.00114048
179,411.99,0.41988,0.44014,0.8852,0.97279,1,0.995,0.86329,0.48216,0.35332,0.91691,0.00113986,0.00113986,0.00113986
180,413.79,0.40669,0.43492,0.86358,0.72651,1,0.995,0.91321,0.49823,0.51773,0.93159,0.00113924,0.00113924,0.00113924
181,415.542,0.41255,0.47368,0.84445,0.98733,0.66667,0.82917,0.75274,0.47927,0.6047,0.91942,0.00113863,0.00113863,0.00113863
182,417.518,0.36775,0.38669,0.86255,0.98544,0.66667,0.82917,0.75252,0.45183,0.47075,0.90515,0.00113801,0.00113801,0.00113801
183,419.227,0.40021,0.44669,0.83888,0.9418,1,0.995,0.89352,0.46672,0.31947,0.90098,0.00113739,0.00113739,0.00113739
184,422.236,0.39572,0.39727,0.85055,0.98365,1,0.995,0.88357,0.57419,0.35309,0.94641,0.00113677,0.00113677,0.00113677
185,424.711,0.41994,0.3957,0.86158,0.98303,1,0.995,0.88362,0.57056,0.36068,0.94651,0.00113615,0.00113615,0.00113615
186,426.651,0.41288,0.47113,0.89648,0.85516,1,0.995,0.89899,0.50478,0.36971,0.91432,0.00113553,0.00113553,0.00113553
187,428.428,0.46346,0.48796,0.88286,0.97686,1,0.995,0.87647,0.55972,0.30247,0.92027,0.00113491,0.00113491,0.00113491
188,430.37,0.42847,0.43706,0.86539,0.97642,1,0.995,0.91618,0.44664,0.307,0.89068,0.00113429,0.00113429,0.00113429
189,432.144,0.36065,0.45468,0.83913,0.94544,1,0.995,0.92114,0.44919,0.32549,0.89313,0.00113368,0.00113368,0.00113368
190,434.153,0.42758,0.59453,0.85722,0.774,1,0.995,0.89521,0.57892,0.46453,0.9823,0.00113306,0.00113306,0.00113306
